ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount
Un'Goro Madness: Loot Dino Mojo,From 3/17 - 3/19 loot Dino Mojo in Un'Goro Crater.,69,137797,150
"Un'Goro Madness: Gain the ""Awesome"" Adaptation","From 3/17 - 3/19 use Dino Mojo to increase your Adaptation effect until you are ""Awesome.""",70,137799,150
Darkmoon Faire: The Humanoid Cannonball,"From 3/5 - 3/11 complete the quest ""The Humanoid Cannonball"" at the Darkmoon Faire Island.",71,137801,50
Use the Overtuned Corgi Goggles,Everything looks great!,72,137803,50
Change Your Appearance,Use a Barbershop Chair to change your appearance.,73,137805,20
Trial of Style: Collect the Trader's Bicorne Appearance,From 3/20 - 3/24 participate in the Trial of Style to collect the Trader's Bicorne appearance.,74,137807,20
/flex at Another Player While Lookin' Good,,75,137809,50
/curtsey at a Player of the Opposite Faction,,76,137811,20
/awe at Players that are Lookin' Good,Emote /awe at players that are under effects of a lookin' good toy.,77,137813,50
Earn Reputation Throughout the Dragon Isles,,79,137872,150
Complete 15 Mythic+ Dungeons,,81,140979,200
Complete Grand Hunts with the Maruuk Centaur,Complete Grand Hunts from start to finish on the Dragon Isles.,82,140981,150
Harpoon a Fish with a Friend,"In the Dragon Isles, use a harpoon with another player to catch a fish.",83,140983,50
Participate in the Tuskarr Community Feast,Complete tasks at the Community Feast in Iskaara on the Dragon Isles.,84,140985,50
Complete the Siege on Dragonbane Keep,"On the Dragon Isles, complete the scenario Siege on Dragonbane Keep in the Waking Shores.",85,140987,50
Use the Buddy System While Climbing,Use the Buddy System during climbing World Quests on the Dragon Isles.,86,140989,50
Defeat Special Creatures During Primalist Storms,Special creatures will appear during Primalist Storm events throughout the Dragon Isles.,87,140991,100
Complete Group Dragon Riding Races,Speak to a Bronze Timekeeper on the Dragon Isles to participate in a group race.,88,141010,150
Complete a PvP World Quest in the Dragon Isles,,89,141012,100
Defeat a Dragon Isles World Boss,,90,141021,100
Complete the Optional Waking Shores Storylines,,91,141032,200
Complete Weekly Gathering Quests,Weekly profession quests can be obtained within the Artisan's Market in Valdrakken.,92,141044,100
Complete Weekly Crafting Quests,Weekly profession quests can be obtained within the Artisan's Market in Valdrakken.,93,141057,100
Loot War Supply Chests in the Dragon Isles,,94,141095,100
Fish Up Items in the Dragon Isles,,95,141125,100
Show Some Love to the Dragon Aspects,Emote /love at the Dragon Aspects in Valdrakken.,96,141883,50
Show Some Love to Fallen Dragons,Emote /love at 2 of the specified fallen dragons inside of their raids.,97,141887,50
Photograph Legendary Fishers,While on a Cataloging World Quest take photographs of legendary fishers.,102,141960,50
Complete Cataloging World Quests,"On the Dragon Isles, complete the Cataloging World Quests.",103,141971,50
Obtain 500 Elemental Overflow,Elemental Overflow can be looted from creatures affected by the Primalist Storms.,104,141979,100
Complete Solo Dragon Riding Races,Speak to a Bronze Timekeeper on the Dragon Isles to participate in a solo race.,105,141981,100
Complete the Optional Ohn'ahran Plains Storylines,,108,141988,150
Defeat Grand Hunt Bosses,Defeat Bosses during the Maruuk Centaur Grand Hunts on the Dragon Isles.,109,141997,100
Catch Lunkers with a Harpoon,"In the Dragon Isles, use a harpoon to land lunkers.",110,142034,50
Turn in Obsidian Keys,Turn in Obsidian Keys to individuals around the Obsidian Citadel in the Dragon Isles.,111,142036,100
Change the Look of your Dragonriding Mount,,112,142038,20
Earn Honor in the Azure Span Training Grounds,,113,142733,100
Defeat Dragon Isles Elite Pets with Dragonkin Pets,Defeat 2 Dragon Isles Elite pets with a lineup of at least 2 Dragonkin pets.,121,142058,200
"Fish Up Items in the Dragon Isles While ""Looking"" Good","You ""look"" good when you wear Onyx Glare-Reducers or the Craftman's Monocle.",122,142063,50
"Craft Items While ""Looking"" Good","You ""look"" good when you wear Onyx Glare-Reducers or the Craftman's Monocle.",123,142065,50
Change the Appearance of your Grand Hunt Companion,Speak to a Grand Hunt Trainer on the Dragon Isles to change the appearance of your companion.,126,142080,20
Discover the Hidden Gem Clusters of the Dragon Isles,,127,142082,50
Collect Bloody Tokens in the Dragon Isles,,140,142224,150
Feast on Soup While Lookin' Good,Feast on the Community Soup in Iskaara on the Dragon Isles while lookin' good.,143,142261,50
Show Some Love to the Trading Post,Emote /love at the Trading Post merchants and their wares.,144,142268,50
Defeat 25 Raid Bosses,,145,142290,250
Harpoon a Lunker with 5 Friends,"In the Dragon Isles, use a harpoon with 5 other players to catch a lunker.",146,142297,50
Fulfill Public Crafting Orders,Speak to a Crafting Orders Clerk in Valdrakken's Artisan's Market to access Crafting Orders.,147,142299,100
Fulfill Personal Crafting Orders,Speak to a Crafting Orders Clerk in Valdrakken's Artisan's Market to access Crafting Orders.,148,142303,100
Defeat bosses during the Storm's Fury event,The Storms Fury event can be found on the Dragon Isles in the Primalist Future.,150,142527,100
Complete Solo Dragon Riding Races,Speak to a Bronze Timekeeper on the Dragon Isles to participate in a solo race.,132,0,100
